Season,Team_Standardized,Team_Full_Name
2002,ARS,Arsenal
2002,AVL,Aston Villa
2002,BIR,Birmingham
2002,BLA,Blackburn
2002,BOL,Bolton
2002,CHA,Charlton
2002,CHE,Chelsea
2002,EVE,Everton
2002,FUL,Fulham
2002,LEE,Leeds
2002,LIV,Liverpool
2002,MANC,Man City
2002,MANU,Man United
2002,MID,Middlesbrough
2002,NEW,Newcastle
2002,SOU,Southampton
2002,SUN,Sunderland
2002,TOT,Tottenham
2002,WBA,West Brom
2002,WHU,West Ham
2004,ARS,Arsenal
2004,AVL,Aston Villa
2004,BIR,Birmingham
2004,BLA,Blackburn
2004,BOL,Bolton
2004,CHA,Charlton
2004,CHE,Chelsea
2004,EVE,Everton
2004,FUL,Fulham
2004,LIV,Liverpool
2004,MANC,Man City
2004,MANU,Man United
2004,MID,Middlesbrough
2004,NEW,Newcastle
2004,POR,Portsmouth
2004,SUN,Sunderland
2004,TOT,Tottenham
2004,WBA,West Brom
2004,WHU,West Ham
2004,WIG,Wigan
2005,ARS,Arsenal
2005,AVL,Aston Villa
2005,BIR,Birmingham
2005,BLA,Blackburn
2005,BOL,Bolton
2005,CHA,Charlton
2005,CHE,Chelsea
2005,EVE,Everton
2005,FUL,Fulham
2005,LIV,Liverpool
2005,MANC,Man City
2005,MANU,Man United
2005,MID,Middlesbrough
2005,NEW,Newcastle
2005,POR,Portsmouth
2005,REA,Reading
2005,SHU,Sheffield United
2005,SUN,Sunderland
2005,TOT,Tottenham
2005,WAT,Watford
2005,WBA,West Brom
2005,WHU,West Ham
2005,WIG,Wigan
2006,ARS,Arsenal
2006,AVL,Aston Villa
2006,BIR,Birmingham
2006,BLA,Blackburn
2006,BOL,Bolton
2006,CHA,Charlton
2006,CHE,Chelsea
2006,DER,Derby
2006,EVE,Everton
2006,FUL,Fulham
2006,LIV,Liverpool
2006,MANC,Man City
2006,MANU,Man United
2006,MID,Middlesbrough
2006,NEW,Newcastle
2006,POR,Portsmouth
2006,REA,Reading
2006,SHU,Sheffield United
2006,SUN,Sunderland
2006,TOT,Tottenham
2006,WAT,Watford
2006,WBA,West Brom
2006,WHU,West Ham
2006,WIG,Wigan
2007,ARS,Arsenal
2007,AVL,Aston Villa
2007,BIR,Birmingham
2007,BLA,Blackburn
2007,BOL,Bolton
2007,CHA,Charlton
2007,CHE,Chelsea
2007,DER,Derby
2007,EVE,Everton
2007,FUL,Fulham
2007,HUL,Hull
2007,LIV,Liverpool
2007,MANC,Man City
2007,MANU,Man United
2007,MID,Middlesbrough
2007,NEW,Newcastle
2007,POR,Portsmouth
2007,REA,Reading
2007,SHU,Sheffield United
2007,STO,Stoke
2007,SUN,Sunderland
2007,TOT,Tottenham
2007,WAT,Watford
2007,WBA,West Brom
2007,WHU,West Ham
2007,WIG,Wigan
2008,ARS,Arsenal
2008,AVL,Aston Villa
2008,BIR,Birmingham
2008,BLA,Blackburn
2008,BOL,Bolton
2008,BUR,Burnley
2008,CHE,Chelsea
2008,DER,Derby
2008,EVE,Everton
2008,FUL,Fulham
2008,HUL,Hull
2008,LIV,Liverpool
2008,MANC,Man City
