season,team_name,points,wins,draws,losses,gf,ga,gd,rank
2000,Man United,80,24,8,6,79,31,48,1
2000,Arsenal,70,20,10,8,63,38,25,2
2000,Liverpool,69,20,9,9,71,39,32,3
2000,Leeds,68,20,8,10,64,43,21,4
2000,Ipswich,66,20,6,12,57,42,15,5
2000,Chelsea,61,17,10,11,68,45,23,6
2000,Sunderland,57,15,12,11,46,41,5,7
2000,Aston Villa,54,13,15,10,46,43,3,8
2000,Charlton,52,14,10,14,50,57,-7,9
2000,Southampton,52,14,10,14,40,48,-8,10
2000,Newcastle,51,14,9,15,44,50,-6,11
2000,Tottenham,49,13,10,15,47,54,-7,12
2000,Leicester,48,14,6,18,39,51,-12,13
2000,Middlesbrough,42,9,15,14,44,44,0,14
2000,West Ham,42,10,12,16,45,50,-5,15
2000,Everton,42,11,9,18,45,59,-14,16
2000,Derby,42,10,12,16,37,59,-22,17
2000,Man City,34,8,10,20,41,65,-24,18
2000,Coventry,34,8,10,20,36,63,-27,19
2000,Bradford,26,5,11,22,30,70,-40,20
2001,Arsenal,87,26,9,3,79,36,43,1
2001,Liverpool,80,24,8,6,67,30,37,2
2001,Man United,77,24,5,9,87,45,42,3
2001,Newcastle,71,21,8,9,74,52,22,4
2001,Leeds,66,18,12,8,53,37,16,5
2001,Chelsea,64,17,13,8,66,38,28,6
2001,West Ham,53,15,8,15,48,57,-9,7
2001,Aston Villa,50,12,14,12,46,47,-1,8
2001,Tottenham,50,14,8,16,49,53,-4,9
2001,Blackburn,46,12,10,16,55,51,4,10
2001,Southampton,45,12,9,17,46,54,-8,11
2001,Middlesbrough,45,12,9,17,35,47,-12,12
2001,Fulham,44,10,14,14,36,44,-8,13
2001,Charlton,44,10,14,14,38,49,-11,14
2001,Everton,43,11,10,17,45,57,-12,15
2001,Bolton,40,9,13,16,44,62,-18,16
2001,Sunderland,40,10,10,18,29,51,-22,17
2001,Ipswich,36,9,9,20,41,64,-23,18
2001,Derby,30,8,6,24,33,63,-30,19
2001,Leicester,28,5,13,20,30,64,-34,20
2002,Man United,83,25,8,5,74,34,40,1
2002,Arsenal,78,23,9,6,85,42,43,2
2002,Newcastle,69,21,6,11,63,48,15,3
2002,Chelsea,67,19,10,9,68,38,30,4
2002,Liverpool,64,18,10,10,61,41,20,5
2002,Blackburn,60,16,12,10,52,43,9,6
2002,Everton,59,17,8,13,48,49,-1,7
2002,Southampton,52,13,13,12,43,46,-3,8
2002,Man City,51,15,6,17,47,54,-7,9
2002,Tottenham,50,14,8,16,51,62,-11,10
2002,Middlesbrough,49,13,10,15,48,44,4,11
2002,Charlton,49,14,7,17,45,56,-11,12
2002,Birmingham,48,13,9,16,41,49,-8,13
2002,Fulham,48,13,9,16,41,50,-9,14
2002,Leeds,47,14,5,19,58,57,1,15
2002,Aston Villa,45,12,9,17,42,47,-5,16
2002,Bolton,44,10,14,14,41,51,-10,17
2002,West Ham,42,10,12,16,42,59,-17,18
2002,West Brom,26,6,8,24,29,65,-36,19
2002,Sunderland,19,4,7,27,21,65,-44,20
2003,Arsenal,77,22,11,0,61,23,38,1
2003,Chelsea,71,22,5,6,63,27,36,2
2003,Man United,66,20,6,8,59,33,26,3
2003,Liverpool,55,15,10,8,48,31,17,4
2003,Newcastle,52,13,13,8,47,35,12,5
2003,Aston Villa,51,14,9,11,42,37,5,6
2003,Birmingham,48,12,12,10,39,41,-2,7
2003,Bolton,46,12,10,12,42,51,-9,8
2003,Fulham,45,12,9,12,45,41,4,9
2003,Charlton,45,12,9,13,46,48,-2,10
2003,Middlesbrough,44,12,8,15,40,46,-6,11
2003,Tottenham,41,12,5,16,43,50,-7,12
2003,Southampton,40,10,10,13,32,35,-3,13
2003,Blackburn,37,10,7,16,44,49,-5,14
